503, 209, 235, 387, 666, 392, 420, 0, 0, 0
449, 252, 229, 421, 570, 380, 452, 0, 0, 0
384, 209, 202, 397, 584, 353, 383, 0, 0, 0
347, 194, 192, 334, 590, 284, 317, 0, 0, 0
306, 151, 163, 293, 494, 267, 257, 0, 0, 0
456, 238, 251, 520, 731, 549, 500, 0, 0, 0
314, 172, 173, 305, 522, 297, 305, 0, 0, 0
409, 200, 174, 366, 559, 372, 371, 0, 0, 0
351, 185, 173, 344, 635, 342, 350, 0, 0, 0
347, 175, 163, 290, 622, 352, 299, 0, 0, 0
290, 151, 154, 297, 508, 264, 265, 0, 0, 0
264, 144, 144, 258, 477, 231, 238, 0, 0, 0
376, 191, 185, 420, 774, 358, 371, 0, 0, 0
434, 232, 225, 508, 762, 476, 466, 0, 0, 0
333, 172, 166, 304, 591, 320, 292, 0, 0, 0
252, 154, 140, 273, 490, 276, 263, 0, 0, 0
334, 180, 183, 341, 588, 350, 340, 0, 0, 0
322, 178, 172, 339, 619, 338, 347, 0, 0, 0
361, 182, 155, 320, 618, 317, 332, 0, 0, 0
288, 162, 160, 312, 569, 310, 325, 0, 0, 0
267, 164, 161, 290, 550, 304, 294, 0, 0, 0
524, 268, 250, 589, 880, 502, 563, 0, 0, 0
280, 130, 127, 216, 401, 222, 217, 0, 0, 0
348, 187, 184, 349, 585, 334, 344, 0, 0, 0
257, 146, 153, 264, 502, 315, 294, 0, 0, 0
249, 141, 150, 238, 497, 268, 253, 0, 0, 0
290, 142, 143, 247, 538, 252, 273, 0, 0, 0
266, 123, 121, 224, 499, 258, 230, 0, 0, 0
280, 126, 110, 276, 529, 250, 243, 0, 0, 0
407, 292, 144, 351, 693, 373, 386, 0, 0, 0
364, 192, 146, 318, 668, 344, 355, 0, 0, 0
368, 185, 182, 353, 524, 305, 327, 0, 0, 0
336, 219, 113, 299, 566, 344, 350, 0, 0, 0
325, 219, 131, 300, 642, 331, 340, 0, 0, 0
328, 213, 200, 344, 723, 413, 414, 0, 0, 0
262, 132, 113, 251, 582, 250, 238, 0, 0, 0
331, 158, 145, 305, 698, 286, 314, 0, 0, 0
271, 147, 154, 279, 570, 284, 276, 0, 0, 0
361, 215, 173, 376, 634, 365, 379, 0, 0, 0
370, 185, 194, 380, 592, 361, 386, 0, 0, 0
377, 190, 186, 364, 625, 363, 394, 0, 0, 0
384, 189, 188, 362, 604, 381, 383, 0, 0, 0
338, 169, 173, 310, 557, 322, 337, 0, 0, 0
300, 160, 167, 312, 640, 315, 328, 0, 0, 0
